1	'Sub1'	'Sub4'	124,2091699	0,0283	3,512	345	1	1	1	1	8
2	'Sub1'	'Sub2'	124,6758797	0,0283	3,525	345	1	1	1	1	3
3	'Sub3'	'Sub4'	140,8336934	0,0141	1,986	500	1	1	1	5	7
4	'Sub2'	'Sub3'	165,0221338	0,0283	4,665	345	1	1	1	3	6
5	'Sub4'	'Sub5'	166,2613286	0,0141	2,345	500	1	1	1	7	9
6	'Sub4'	'Sub5'	166,2613286	0,0141	2,345	500	1	1	1	7	9
7	'Sub5'	'Sub6'	210,9045312	0,0141	2,975	500	1	1	1	9	11
9	'Sub6'	'Sub8'	267,1189	0,0141	3,768	500	1	1	1	11	13
10	'Sub4'	'Sub6'	330,8328461	0,0141	4,666	500	1	1	1	7	11
11	'Sub3'	'Sub6'	207,2996006	0,0141	2,924	500	1	1	1	5	11
12	'Sub3'	'Sub6'	207,2996006	0,0141	2,924	500	1	1	1	5	11
14	'Sub3'	'Sub5'	143,1994291	0,0283	4,049	345	1	1	1	6	10
15	'Sub2'	'Sub5'	245,4732403	0,0283	6,94	345	1	1	1	3	10
